x1,x2
nill_name,65303
Artur,6
Lerka,11
Ruslan,4
Lena,6
Ksenia,199
Lidia,2
Matwei,1
Vasia,3
Roman,1284
David,2
Viktoria,6
Kristina,4
Sergiei,701
Sofia,292
Arina,0
Gleb,130
Kostia,186
Andrei,1301
Alina,575
Vitalii,797
Sewa,2
Aleksei,1566
Olga,7
Anton,789
Mark,6
Boris,4
Tonia,1
Nazar,8
Dimka,2704
Nastia,2410
Vladislava,1
Slavik,5
Rodion,2
Galina,3
Ilona,43
Arkadii,1
Vova,28
Luda,1
Tania,729
Timka,6
Yana,3
Maria,2023
Veronika,4
Stepan,1
Pavel,205
Lili,1
Aleksandra,2
Zenia,765
Yarik,834
Marta,1
Alena,177
Ania,1715
Rita,2
Arsen,2
Nadia,1
Ilia,917
Maksim,1078
Vadim,556
Margo,2
Rostik,6
Alisa,3
Egor,508
Vlad,83
Lana,4
Valera,3
Polina,4
Ira,601
Kiril,811
German,3
Petia,7
Taras,3
Danik,1721
Liza,12
Ina,1
Sveta,4
Yaroslava,2
Dana,111
Viola,3
Igor,775
Bodia,834
Sania,4220
Nataliia,897
Stas,10
Myroslava,2
Denis,1301
Miha,768
Katia,831
Lev,0
Yulia,937
Dasha,1482
Tolik,7
Leonid,2
Diana,828
Ivan,1084
Ivanka,2
Yan,61
Viktor,10
Karina,6
Yurii,833
Grysza,6
Nikita,1514
Artem,1399
Kolia,244
Oleg,1309
